tenure,MonthlyCharges,TotalCharges,Contract,InternetService,TechSupport,PaperlessBilling,PaymentMethod,SeniorCitizen,Partner,Dependents,Churn
12,498.04,5973.21,Two year,DSL,No,No,Bank transfer,0,No,No,0
33,1141.96,37695.06,Month-to-month,Fiber optic,Yes,No,Credit card,0,No,Yes,1
6,1195.13,7110.73,Two year,No,No,No,Credit card,0,Yes,No,0
1,764.58,697.74,Month-to-month,DSL,No,No,Credit card,0,No,No,1
8,200.0,1622.37,Month-to-month,No,No,Yes,Electronic check,0,Yes,No,1
4,617.65,2450.3,Month-to-month,Fiber optic,No,No,Electronic check,1,No,Yes,1
63,1189.1,74904.9,Month-to-month,DSL,No,Yes,Electronic check,0,Yes,No,0
39,793.14,30914.46,Month-to-month,DSL,Yes,Yes,Electronic check,0,Yes,No,0
24,500.21,12081.05,Month-to-month,DSL,Yes,Yes,Credit card,0,No,No,1
49,648.57,31842.9,Month-to-month,Fiber optic,No,Yes,Bank transfer,1,Yes,No,1
39,1052.19,40973.39,Two year,DSL,No,No,Electronic check,0,Yes,No,0
4,964.02,3829.44,Two year,Fiber optic,Yes,No,Electronic check,0,Yes,No,0
53,728.32,38643.48,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,Yes,No,0
18,689.95,12449.24,Two year,Fiber optic,Yes,Yes,Bank transfer,0,No,Yes,0
39,682.47,26614.36,Two year,DSL,No,Yes,Bank transfer,1,No,No,0
54,523.28,28200.08,One year,Fiber optic,Yes,Yes,Credit card,0,No,No,0
9,1284.61,11527.39,Month-to-month,Fiber optic,No,No,Credit card,0,Yes,No,1
2,703.3,1380.77,One year,Fiber optic,No,No,Electronic check,1,No,No,1
6,1165.15,7004.74,Two year,No,Yes,No,Electronic check,0,No,No,0
13,1256.39,16418.32,One year,DSL,No,No,Electronic check,0,No,No,1
40,1099.49,43945.39,Month-to-month,No,Yes,No,Mailed check,0,No,Yes,0
47,670.51,31462.85,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,Yes,1
0,921.12,0.0,One year,Fiber optic,Yes,Yes,Bank transfer,0,No,No,0
17,792.74,13528.19,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,Yes,No,1
12,528.89,6274.33,Month-to-month,Fiber optic,No,Yes,Mailed check,1,Yes,No,1
6,897.31,5456.53,Month-to-month,DSL,Yes,No,Electronic check,0,No,No,1
3,446.29,1330.26,Two year,Fiber optic,Yes,Yes,Electronic check,0,No,No,1
9,1156.3,10370.02,Two year,Fiber optic,No,Yes,Mailed check,0,Yes,No,0
68,660.61,44841.8,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,0,Yes,Yes,0
9,860.35,7778.46,Two year,DSL,No,No,Electronic check,0,No,No,0
17,884.99,15036.21,Month-to-month,No,No,Yes,Bank transfer,0,No,No,1
29,722.33,20956.06,One year,Fiber optic,No,No,Credit card,0,Yes,No,0
10,976.01,9715.04,One year,DSL,No,No,Mailed check,0,Yes,No,0
72,657.53,47326.13,Two year,Fiber optic,No,Yes,Bank transfer,0,No,No,0
72,1061.39,76395.69,Two year,Fiber optic,No,Yes,Mailed check,0,No,No,0
6,396.21,2372.21,Month-to-month,Fiber optic,No,No,Bank transfer,0,Yes,No,1
16,837.91,13373.14,Two year,Fiber optic,Yes,Yes,Bank transfer,0,No,No,0
8,1381.68,10976.72,Month-to-month,No,Yes,No,Credit card,0,No,No,1
8,499.9,4135.63,One year,DSL,No,Yes,Electronic check,0,No,No,1
0,596.68,0.0,One year,Fiber optic,No,Yes,Mailed check,0,No,No,0
22,954.17,21000.86,One year,No,No,No,Electronic check,1,No,Yes,0
16,853.87,13573.39,Month-to-month,No,Yes,No,Electronic check,0,Yes,No,1
1,905.19,805.34,Two year,Fiber optic,No,No,Bank transfer,0,Yes,Yes,1
7,946.76,6632.18,Month-to-month,No,Yes,No,Credit card,0,Yes,No,0
57,990.42,56462.46,Month-to-month,DSL,Yes,No,Mailed check,0,Yes,No,1
6,1132.91,6860.53,One year,No,No,No,Electronic check,0,Yes,Yes,0
3,922.95,2788.81,Month-to-month,DSL,Yes,No,Electronic check,0,Yes,No,0
16,727.62,11634.47,Two year,DSL,No,Yes,Mailed check,0,No,No,0
72,1001.77,72080.11,Month-to-month,DSL,No,Yes,Electronic check,0,No,No,0
6,1369.96,8294.74,Month-to-month,Fiber optic,No,No,Electronic check,0,No,No,0
26,760.21,19811.9,Two year,DSL,No,Yes,Bank transfer,0,No,No,0
34,507.64,17197.48,Month-to-month,DSL,Yes,Yes,Electronic check,0,Yes,No,1
6,1132.12,6794.64,Month-to-month,DSL,Yes,Yes,Mailed check,0,Yes,No,0
31,763.89,23687.66,One year,DSL,No,Yes,Credit card,1,Yes,No,0
11,200.0,2182.72,Month-to-month,Fiber optic,No,Yes,Electronic check,1,No,Yes,0
24,1054.23,25340.03,One year,Fiber optic,No,Yes,Bank transfer,0,Yes,No,0
24,639.4,15387.22,Month-to-month,DSL,Yes,No,Bank transfer,0,No,No,1
18,772.84,13901.6,Two year,Fiber optic,No,Yes,Bank transfer,0,No,No,0
2,899.59,1785.14,Two year,No,No,Yes,Mailed check,0,Yes,Yes,0
43,857.15,36932.39,One year,Fiber optic,No,Yes,Electronic check,0,Yes,No,0
9,1012.84,9162.16,Month-to-month,DSL,No,Yes,Credit card,0,No,No,1
4,669.35,2681.03,Two year,Fiber optic,Yes,Yes,Bank transfer,0,No,No,0
0,953.93,0.0,One year,DSL,Yes,No,Electronic check,0,No,No,0
21,722.14,15182.06,One year,DSL,No,Yes,Electronic check,0,Yes,No,1
27,1021.64,27619.27,Month-to-month,DSL,No,No,Electronic check,0,No,No,1
0,984.61,0.0,Two year,No,Yes,Yes,Electronic check,1,Yes,No,0
17,519.37,8841.86,One year,DSL,No,Yes,Bank transfer,0,No,No,0
6,1125.79,6733.93,Month-to-month,DSL,Yes,Yes,Electronic check,0,No,No,0
24,639.21,15330.02,Month-to-month,DSL,Yes,Yes,Electronic check,0,No,Yes,1
4,1042.42,4124.3,Two year,No,No,No,Bank transfer,0,Yes,No,0
28,910.19,25477.8,Month-to-month,Fiber optic,Yes,No,Electronic check,0,No,No,1
11,1351.46,14935.61,Two year,DSL,No,No,Bank transfer,0,Yes,No,0
66,732.96,48353.05,One year,Fiber optic,No,Yes,Bank transfer,0,Yes,No,0
3,695.2,2133.89,One year,Fiber optic,Yes,Yes,Electronic check,1,Yes,No,1
10,794.17,7901.42,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,0,No,Yes,1
2,709.05,1456.03,Month-to-month,DSL,No,No,Bank transfer,0,No,No,1
62,1039.98,64479.0,Two year,No,Yes,Yes,Mailed check,0,Yes,No,0
50,315.11,15772.94,Month-to-month,DSL,No,No,Electronic check,0,No,Yes,1
7,483.9,3387.62,One year,Fiber optic,No,Yes,Mailed check,0,Yes,Yes,0
25,479.66,12023.56,Month-to-month,DSL,No,Yes,Credit card,0,Yes,Yes,1
40,1085.09,43275.31,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,Yes,No,0
19,1313.18,24879.5,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,No,Yes,1
18,768.67,13856.83,Month-to-month,Fiber optic,Yes,No,Bank transfer,1,No,No,0
6,749.35,4393.94,Two year,DSL,Yes,Yes,Mailed check,0,No,No,0
2,821.02,1615.5,Month-to-month,Fiber optic,No,No,Bank transfer,0,No,No,1
54,1148.56,62019.71,Month-to-month,DSL,No,Yes,Bank transfer,0,Yes,No,0
55,521.79,28657.27,Month-to-month,Fiber optic,Yes,No,Mailed check,0,No,No,0
24,871.51,20881.68,Month-to-month,No,Yes,Yes,Credit card,0,Yes,No,1
9,1092.56,9846.61,Month-to-month,Fiber optic,No,No,Bank transfer,0,No,No,0
10,950.33,9553.75,Two year,Fiber optic,No,No,Bank transfer,0,No,No,0
31,856.87,26515.19,Month-to-month,Fiber optic,No,No,Electronic check,0,No,No,1
54,1100.31,59388.19,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,No,0
52,200.0,10363.44,Month-to-month,No,No,No,Credit card,0,No,Yes,1
36,1003.36,35999.98,Two year,DSL,No,Yes,Electronic check,0,Yes,No,0
24,603.78,14497.74,Month-to-month,Fiber optic,No,Yes,Mailed check,1,No,No,1
2,250.81,548.36,Month-to-month,Fiber optic,No,Yes,Electronic check,0,Yes,No,1
4,953.36,3864.28,One year,Fiber optic,No,Yes,Bank transfer,0,Yes,No,0
54,1212.1,65409.73,One year,DSL,Yes,No,Bank transfer,0,No,No,0
22,758.77,16630.25,Month-to-month,Fiber optic,Yes,Yes,Electronic check,1,No,Yes,1
0,1085.86,1.08,Month-to-month,No,No,Yes,Credit card,0,Yes,No,1
2,1283.68,2608.83,One year,No,No,No,Electronic check,0,No,No,1
26,1194.47,31064.08,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,No,1
0,1291.99,14.47,Two year,Fiber optic,Yes,No,Mailed check,0,No,No,0
4,1022.64,4147.64,One year,No,No,Yes,Electronic check,0,No,No,1
19,822.63,15593.01,Month-to-month,DSL,No,Yes,Electronic check,0,No,No,1
28,319.41,8932.49,Month-to-month,DSL,Yes,Yes,Electronic check,0,Yes,No,1
25,726.18,18236.26,Month-to-month,Fiber optic,No,No,Bank transfer,0,No,No,1
6,547.03,3272.32,One year,No,No,No,Bank transfer,0,No,No,0
29,1451.28,42023.83,Month-to-month,No,No,No,Electronic check,0,No,Yes,0
6,747.23,4449.94,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,No,1
9,836.96,7485.74,One year,DSL,No,Yes,Electronic check,1,Yes,No,1
32,965.45,30912.12,Two year,Fiber optic,No,Yes,Bank transfer,1,Yes,Yes,0
25,813.08,20282.22,Month-to-month,DSL,No,Yes,Bank transfer,0,Yes,Yes,1
45,1308.52,58896.74,Two year,DSL,No,Yes,Electronic check,0,Yes,No,0
25,613.21,15293.33,Month-to-month,Fiber optic,No,No,Bank transfer,0,Yes,No,1
20,858.38,17061.48,Month-to-month,DSL,No,Yes,Electronic check,0,Yes,No,1
2,577.26,1169.85,Month-to-month,No,Yes,Yes,Credit card,0,No,No,1
11,403.99,4451.35,Month-to-month,Fiber optic,No,No,Credit card,0,No,No,1
7,616.47,4341.17,Month-to-month,Fiber optic,No,No,Bank transfer,1,No,Yes,1
6,788.89,4699.68,Month-to-month,DSL,No,Yes,Credit card,1,No,Yes,1
72,671.21,48288.09,Two year,DSL,No,Yes,Credit card,0,Yes,Yes,0
11,592.27,6535.08,Two year,DSL,Yes,Yes,Credit card,0,Yes,Yes,0
53,378.1,20115.5,One year,No,No,Yes,Bank transfer,1,No,Yes,0
23,775.07,17827.13,Month-to-month,No,Yes,No,Electronic check,1,No,No,1
38,348.58,13267.42,Month-to-month,Fiber optic,Yes,Yes,Electronic check,1,No,No,1
16,1028.02,16432.19,Month-to-month,DSL,No,No,Electronic check,0,Yes,No,0
20,824.73,16417.46,One year,No,Yes,No,Bank transfer,0,Yes,No,0
16,362.73,5852.12,Two year,DSL,No,No,Electronic check,0,No,No,0
5,707.24,3581.61,Month-to-month,DSL,No,Yes,Electronic check,0,No,No,0
30,574.35,17266.13,Month-to-month,Fiber optic,No,Yes,Mailed check,0,No,No,0
7,895.75,6261.17,Month-to-month,No,No,No,Electronic check,0,No,No,1
0,1202.14,29.85,Month-to-month,DSL,Yes,Yes,Bank transfer,1,No,Yes,0
24,237.45,5743.45,Month-to-month,DSL,Yes,Yes,Credit card,1,No,No,1
4,834.51,3419.04,One year,No,No,Yes,Bank transfer,0,No,No,0
67,751.96,50430.76,One year,DSL,No,Yes,Bank transfer,1,No,No,0
72,1001.4,72104.14,Month-to-month,DSL,No,No,Bank transfer,0,No,No,0
59,863.96,50908.17,Month-to-month,Fiber optic,No,Yes,Mailed check,0,No,No,1
11,574.41,6326.28,Two year,No,Yes,Yes,Electronic check,0,No,No,0
0,704.28,12.83,Month-to-month,Fiber optic,No,Yes,Credit card,0,Yes,Yes,1
63,561.19,35390.56,Month-to-month,No,No,Yes,Electronic check,0,No,No,0
13,1122.8,14664.12,Month-to-month,Fiber optic,Yes,No,Electronic check,0,No,Yes,1
72,806.39,58055.57,Month-to-month,DSL,Yes,No,Bank transfer,0,Yes,No,0
72,1370.36,98770.77,Month-to-month,No,Yes,Yes,Electronic check,0,No,Yes,0
46,781.8,35874.92,Two year,Fiber optic,Yes,Yes,Mailed check,1,Yes,No,0
8,587.48,4720.79,Month-to-month,DSL,No,Yes,Electronic check,0,No,Yes,1
11,345.89,3764.82,Month-to-month,Fiber optic,Yes,No,Electronic check,0,No,No,1
45,259.06,11562.25,One year,DSL,Yes,Yes,Electronic check,0,Yes,Yes,0
9,324.76,2912.74,Month-to-month,DSL,Yes,No,Electronic check,0,Yes,Yes,1
4,880.14,3447.69,Two year,DSL,No,Yes,Bank transfer,0,No,No,0
19,952.62,18091.66,Two year,Fiber optic,No,No,Credit card,0,No,Yes,1
66,325.64,21494.16,Month-to-month,No,Yes,Yes,Mailed check,0,Yes,Yes,0
28,1068.51,29974.25,One year,Fiber optic,No,No,Credit card,0,No,Yes,0
20,655.08,13026.25,Month-to-month,No,Yes,Yes,Electronic check,0,No,No,0
2,844.04,1733.5,Two year,DSL,No,No,Electronic check,0,No,No,1
22,1283.67,28245.56,Month-to-month,DSL,Yes,Yes,Electronic check,0,Yes,Yes,1
72,1069.05,77023.17,Two year,DSL,No,Yes,Bank transfer,1,No,Yes,0
3,719.44,2136.73,One year,DSL,No,No,Mailed check,0,Yes,No,0
17,532.64,8988.31,Month-to-month,DSL,No,Yes,Bank transfer,0,No,No,0
50,200.0,9939.13,Month-to-month,Fiber optic,Yes,No,Bank transfer,1,No,No,0
32,584.25,18631.54,Two year,No,No,No,Mailed check,0,Yes,No,0
28,736.66,20650.4,Two year,No,No,Yes,Bank transfer,0,No,No,0
29,503.85,14685.38,Month-to-month,DSL,Yes,Yes,Credit card,1,Yes,No,1
10,760.62,7577.98,One year,No,No,Yes,Electronic check,0,No,No,1
8,823.06,6615.9,Month-to-month,DSL,Yes,Yes,Mailed check,0,No,No,1
39,732.54,28493.01,Month-to-month,DSL,Yes,Yes,Bank transfer,1,No,No,0
39,605.0,23603.99,Month-to-month,No,Yes,No,Bank transfer,1,No,No,1
48,850.6,40862.06,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,No,1
58,932.58,54017.36,Two year,DSL,No,Yes,Mailed check,0,No,No,0
17,472.88,8028.77,Month-to-month,Fiber optic,No,Yes,Mailed check,0,No,No,1
16,1223.28,19608.27,Two year,DSL,Yes,Yes,Mailed check,0,Yes,No,0
38,770.42,29129.41,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,Yes,1
25,805.65,20208.14,Month-to-month,Fiber optic,Yes,No,Credit card,0,No,No,0
29,1012.46,29379.15,Month-to-month,No,No,No,Bank transfer,0,Yes,No,0
38,869.96,33094.5,Month-to-month,DSL,No,Yes,Mailed check,1,Yes,No,0
52,1085.94,56448.3,Month-to-month,Fiber optic,Yes,No,Bank transfer,1,Yes,No,0
9,886.14,7889.1,Month-to-month,Fiber optic,No,Yes,Credit card,1,Yes,Yes,1
11,616.27,6805.66,One year,Fiber optic,No,No,Electronic check,1,Yes,Yes,0
2,908.45,1812.77,Month-to-month,DSL,No,No,Electronic check,0,No,No,0
20,456.88,9139.25,Month-to-month,Fiber optic,No,No,Mailed check,0,No,No,0
0,832.57,54.38,Month-to-month,No,No,Yes,Credit card,0,No,No,1
15,790.03,11888.57,Two year,No,No,Yes,Electronic check,0,Yes,Yes,0
18,737.56,13372.23,Two year,No,No,Yes,Credit card,0,No,No,1
8,761.44,6099.2,Month-to-month,No,Yes,No,Mailed check,0,No,No,1
21,235.45,4909.79,Month-to-month,Fiber optic,No,Yes,Mailed check,1,No,No,1
0,635.38,0.0,Month-to-month,No,No,No,Electronic check,0,No,No,1
0,827.85,20.78,Two year,DSL,Yes,Yes,Electronic check,0,Yes,No,0
41,847.96,34817.03,Month-to-month,Fiber optic,Yes,No,Credit card,0,No,No,1
10,491.7,4843.62,Month-to-month,DSL,No,Yes,Credit card,0,No,No,1
3,1179.71,3539.56,Month-to-month,Fiber optic,No,Yes,Mailed check,0,Yes,Yes,1
17,540.15,9262.99,Month-to-month,DSL,No,Yes,Credit card,0,Yes,No,1
35,1090.84,38167.29,Month-to-month,No,Yes,Yes,Credit card,0,Yes,No,0
5,928.16,4687.34,One year,DSL,No,Yes,Mailed check,0,Yes,No,0
23,606.13,13965.69,Month-to-month,DSL,Yes,No,Bank transfer,0,Yes,No,0
2,1332.59,2712.98,One year,Fiber optic,No,Yes,Mailed check,0,No,No,0
1,441.91,401.42,Month-to-month,DSL,No,Yes,Bank transfer,1,No,No,1
18,1075.75,19323.16,Month-to-month,DSL,Yes,No,Electronic check,0,No,No,0
18,1100.17,19804.16,Two year,DSL,No,Yes,Bank transfer,1,No,No,0
24,598.81,14294.92,Month-to-month,Fiber optic,No,No,Electronic check,0,No,No,1
31,1217.74,37736.44,Two year,Fiber optic,No,No,Credit card,0,No,Yes,0
72,724.99,52211.64,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,No,0
17,886.61,15161.57,Month-to-month,Fiber optic,No,Yes,Electronic check,0,Yes,No,1
9,878.1,7923.0,Two year,Fiber optic,No,Yes,Electronic check,0,No,Yes,1
38,759.71,28900.14,Month-to-month,DSL,Yes,No,Mailed check,0,No,Yes,0
7,1043.24,7360.92,Two year,DSL,Yes,Yes,Bank transfer,1,Yes,No,0
13,1038.05,13446.37,Month-to-month,Fiber optic,Yes,No,Electronic check,0,No,No,1
1,275.44,267.19,Two year,DSL,No,No,Bank transfer,0,No,No,0
0,1191.3,121.27,Month-to-month,DSL,No,Yes,Electronic check,0,No,Yes,0
72,301.25,21686.22,Month-to-month,Fiber optic,No,No,Electronic check,0,Yes,Yes,1
43,1109.76,47775.67,One year,Fiber optic,No,No,Electronic check,0,No,No,0
28,1138.01,31912.51,Two year,DSL,No,Yes,Electronic check,0,Yes,Yes,0
12,472.71,5598.62,Two year,DSL,No,No,Credit card,0,Yes,Yes,1
4,676.76,2722.55,Two year,No,No,No,Credit card,0,Yes,Yes,1
4,468.29,1880.49,Two year,No,No,Yes,Mailed check,0,No,Yes,0
6,735.52,4429.64,Month-to-month,Fiber optic,No,Yes,Mailed check,0,No,Yes,1
19,707.59,13406.5,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,Yes,No,1
30,1033.9,30961.1,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,No,Yes,1
25,1193.09,29803.52,Month-to-month,No,Yes,No,Electronic check,0,Yes,No,0
7,1218.71,8526.05,Month-to-month,No,Yes,Yes,Bank transfer,0,Yes,No,1
